Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccDiff,Att8EstSQRT,EbaccActSQRT
4.9,-0.19,5.4,5.5,0.13,5,4,-1.04,4.7,-0.2,2.258317958127243,2.1213203435596424
4.6,0.68,4.3,7,2.69,3.8,4,0.19,3.1,-0.78,1.9748417658131499,1.51657508881031
3.7,-0.7,4.8,4,-0.8,4.3,4,-0.3,3.8,-1.83,2.0976176963403033,1.4142135623730951
4.1,-0.09,4.6,5.5,0.94,4.1,3,-1.09,3.5,-1.15,2.0248456731316584,1.51657508881031
4.5,0.36,4.6,4,-0.56,4.1,5.5,1.41,3.5,0.19,2.0248456731316584,1.9235384061671346
0.8,-0.77,2.1,1.5,-0.61,1.1,0,-1.12,0.7,-0.66,1.2649110640673518,0
3.5,-1.64,5.4,4,-1.37,5,4,-1.04,4.7,-2.7,2.258317958127243,1.4142135623730951
3.5,-0.95,4.8,3,-1.8,4.3,4,-0.3,3.8,-2.49,2.0976176963403033,1.140175425099138
1.7,-1.26,3.5,2,-1.46,2.9,3,0.13,1.9,-1.91,1.70293863659264,0
5,-1.19,6.2,5.5,-0.73,6.3,5.5,-0.78,6,-2.82,2.4698178070456938,1.7888543819998317
3.5,0.57,3.5,4,0.54,2.9,3,0.13,1.9,-0.91,1.70293863659264,1
4.9,-0.19,5.4,4,-1.37,5,7,1.96,4.7,-0.2,2.258317958127243,2.1213203435596424
2.5,-1.69,4.6,2,-2.56,4.1,4,-0.09,3.5,-3.48,2.0248456731316584,0
2.9,-0.66,4,3,-0.99,3.5,3,-0.49,2.6,-1.14,1.8708286933869707,1.224744871391589
1,-0.53,2,1,-0.99,1.1,0,-1.05,0.7,-0.68,1.224744871391589,0
5.6,0.95,5,3,-2.01,4.6,7,2.43,4.2,0.85,2.16794833886788,2.23606797749979
4,-0.98,5.3,3,-2.26,4.8,4,-0.85,4.5,-1.51,2.2135943621178655,1.7320508075688772
4.9,1.97,3.5,5.5,2.04,2.9,4,1.13,1.9,2.59,1.70293863659264,2.1213203435596424
1.2,-1.22,2.9,1.5,-1.43,2.2,2,-0.2,1.3,-1.27,1.5491933384829668,0
4.9,-0.08,5.3,5.5,0.24,4.8,7,2.15,4.5,-3.18,2.2135943621178655,1.140175425099138
4.3,-0.84,5.4,4,-1.37,5,4,-1.04,4.7,-2.37,2.258317958127243,1.51657508881031
4.6,1.24,3.8,5.5,1.68,3.3,4,0.7,2.4,0.45,1.816590212458495,1.6733200530681511
2.3,-0.22,3.1,2,-1.11,2.4,3,0.6,1.4,-0.45,1.5811388300841898,1
4.1,-1.76,6,4,-1.97,5.9,4,-1.87,5.6,-2.92,2.4083189157584592,1.6431676725154984
4,-2.14,6.2,5.5,-0.73,6.3,4,-2.28,6,-3.98,2.4698178070456938,1.4142135623730951
2.6,-0.06,3.2,3,-0.23,2.6,3,0.42,1.6,-0.59,1.6431676725154984,1
3,0.19,3.4,3,-0.37,2.8,3,0.24,1.8,-0.76,1.6733200530681511,1
4.8,1.04,4.2,4,-0.16,3.7,5.5,1.82,2.9,1.59,1.9235384061671346,2.1213203435596424
2.7,-0.01,3.2,3,-0.23,2.6,3,0.42,1.6,-0.09,1.6431676725154984,1.224744871391589
3.3,-0.62,4.3,2,-2.31,3.8,4,0.19,3.1,-0.45,1.9748417658131499,1.6431676725154984
5.1,0.65,4.8,4,-0.8,4.3,4,-0.3,3.8,0.67,2.0976176963403033,2.1213203435596424
3.1,0.58,3.1,3,-0.11,2.4,3,0.6,1.4,0.22,1.5811388300841898,1.3038404810405297
3.4,-0.79,4.6,5.5,0.94,4.1,3,-1.09,3.5,-2.98,2.0248456731316584,0.7071067811865476
2.2,-1.11,3.8,3,-0.82,3.3,2,-1.3,2.4,-2.05,1.816590212458495,0.5477225575051661
3.7,0.77,3.5,4,0.54,2.9,4,1.13,1.9,-1.91,1.70293863659264,0
3.2,0.06,3.6,3,-0.64,3.1,4,0.87,2.2,0.16,1.760681686165901,1.51657508881031
4.8,-0.71,5.7,4,-1.73,5.5,4,-1.52,5.2,-1.55,2.345207879911715,1.9235384061671346
4.7,0.51,4.6,4,-0.56,4.1,7,2.91,3.5,-0.31,2.0248456731316584,1.7888543819998317
5,-0.56,5.7,5.5,-0.23,5.5,5.5,-0.02,5.2,-1.55,2.345207879911715,1.9235384061671346
2,-1.14,3.6,3,-0.64,3.1,3,-0.13,2.2,-2.18,1.760681686165901,0
3.1,-0.66,4.2,4,-0.16,3.7,3,-0.68,2.9,-1.58,1.9235384061671346,1.140175425099138
1.8,-1.13,3.5,3,-0.46,2.9,0,-2.87,1.9,-1.57,1.70293863659264,0.5477225575051661
0.7,-0.86,2,1,-0.99,1.1,0,-1.05,0.7,-0.68,1.224744871391589,0
4,-0.98,5.3,4,-1.26,4.8,3,-1.85,4.5,-2.51,2.2135943621178655,1.4142135623730951
5.3,-0.56,6,4,-1.97,5.9,7,1.13,5.6,-2.42,2.4083189157584592,1.7888543819998317
